FID_;DESA;KECAMATAN;KABUPATEN;PROPINSI;LUAS;MI_PRINX
;Andong;Andong;Boyolali;Jawa Tengah;3.628.100.000.000.000;19.441.000.000.000.000.000
;Kacangan;Andong;Boyolali;Jawa Tengah;2.400.400.000.000.000;19.442.000.000.000.000.000
;Kedungdowo;Andong;Boyolali;Jawa Tengah;2.910.700.000.000.000;19.443.000.000.000.000.000
;Pranggong;Andong;Boyolali;Jawa Tengah;3.970.100.000.000.000;19.444.000.000.000.000.000
;Musuk;Musuk;Boyolali;Jawa Tengah;5.151.000.000.000.000;19.285.000.000.000.000.000
;Sukorame;Musuk;Boyolali;Jawa Tengah;2.766.900.000.000.000;19.286.000.000.000.000.000
;Puspo Renggo;Musuk;Boyolali;Jawa Tengah;3.707.900.000.000.000;19.287.000.000.000.000.000
;Pulisen;Boyolali;Boyolali;Jawa Tengah;2.428.500.000.000.000;19.288.000.000.000.000.000
;Siswodipuran;Boyolali;Boyolali;Jawa Tengah;4.092.500.000.000.000;19.289.000.000.000.000.000
;Banaran;Boyolali;Boyolali;Jawa Tengah;1.298.700.000.000.000;19.290.000.000.000.000.000
;Winong;Boyolali;Boyolali;Jawa Tengah;6.922.900.000.000.000;19.291.000.000.000.000.000
;Penggung;Boyolali;Boyolali;Jawa Tengah;5.384.800.000.000.000;19.292.000.000.000.000.000
;Kiringan;Boyolali;Boyolali;Jawa Tengah;3.071.500.000.000.000;19.293.000.000.000.000.000
;Pakang;Andong;Boyolali;Jawa Tengah;2.808.400.000.000.000;19.445.000.000.000.000.000
;Munggur;Andong;Boyolali;Jawa Tengah;1.918.500.000.000.000;19.446.000.000.000.000.000
;Kadipaten;Andong;Boyolali;Jawa Tengah;5.976.700.000.000.000;19.447.000.000.000.000.000
;Semawung;Andong;Boyolali;Jawa Tengah;3.439.600.000.000.000;19.448.000.000.000.000.000
;Kunti;Andong;Boyolali;Jawa Tengah;3.021.200.000.000.000;19.449.000.000.000.000.000
;Palemrejo;Andong;Boyolali;Jawa Tengah;4.029.200.000.000.000;19.450.000.000.000.000.000
;Kauman;Kemusu;Boyolali;Jawa Tengah;4.701.700.000.000.000;19.451.000.000.000.000.000
;Kendel;Kemusu;Boyolali;Jawa Tengah;9.059.799.999.999.990;19.452.000.000.000.000.000
;Bawu;Kemusu;Boyolali;Jawa Tengah;3.726.400.000.000.000;19.453.000.000.000.000.000
;Klewor;Kemusu;Boyolali;Jawa Tengah;2.174.800.000.000.000;19.454.000.000.000.000.000
;Karanggeneng;Boyolali;Boyolali;Jawa Tengah;5.329.600.000.000.000;19.294.000.000.000.000.000
;Mudal;Boyolali;Boyolali;Jawa Tengah;3.431.200.000.000.000;19.295.000.000.000.000.000
;Kebonbimo;Boyolali;Boyolali;Jawa Tengah;1.887.000.000.000.000;19.296.000.000.000.000.000
;Singosari;Mojosongo;Boyolali;Jawa Tengah;4.779.300.000.000.000;19.297.000.000.000.000.000
;Tambak;Mojosongo;Boyolali;Jawa Tengah;4.486.000.000.000.000;19.298.000.000.000.000.000
;Manggis;Mojosongo;Boyolali;Jawa Tengah;3.473.500.000.000.000;19.299.000.000.000.000.000
;Jurug;Mojosongo;Boyolali;Jawa Tengah;2.647.900.000.000.000;19.300.000.000.000.000.000
;Karangnongko;Mojosongo;Boyolali;Jawa Tengah;2.327.600.000.000.000;19.301.000.000.000.000.000
;Madu;Mojosongo;Boyolali;Jawa Tengah;2.295.600.000.000.000;19.302.000.000.000.000.000
;Sarimulyo;Kemusu;Boyolali;Jawa Tengah;1.934.600.000.000.000;19.455.000.000.000.000.000
